"1.7","-5.2","14.1","15.1","2.3"
"2.7","-4.6","7.2","9.0","2.3"
"1.1","-2.6","6.4","7.0","2.3"
"-3.0","-0.3","7.0","7.6","2.4"
"-2.8","2.5","4.8","6.1","2.4"
"-1.0","5.1","2.7","5.9","2.4"
"-1.0","4.7","1.4","5.0","2.4"
"-1.4","3.9","1.1","4.3","2.4"
"-1.7","3.0","0.4","3.5","2.4"
"-1.4","2.3","-0.8","2.8","2.5"
"-2.0","-4.5","-3.1","5.8","2.5"
"-4.0","-9.4","-1.8","10.4","2.5"
"-2.7","-4.8","3.0","6.3","2.5"
"-4.4","-2.7","6.8","8.5","2.5"
"-3.1","0.8","1.9","3.7","2.6"
"-0.5","3.6","-1.7","4.0","2.6"
"0.8","4.7","-2.4","5.3","2.6"
"0.9","4.0","-2.2","4.7","2.6"
"0.3","2.1","-2.1","3.0","2.6"
"0.1","-0.2","-2.3","2.3","2.7"
"0.8","-2.5","-2.5","3.6","2.7"
"5.9","-6.6","-22.2","23.9","2.7"
"3.6","-2.7","1.4","4.7","2.7"
"-0.2","-1.6","5.8","6.0","2.7"
"0.6","-0.4","4.3","4.4","2.8"
"0.2","0.6","2.8","2.9","2.8"
"0.4","1.3","0.7","1.5","2.8"
"-3.5","0.8","-10.8","11.4","2.8"
"-4.2","-1.3","-7.4","8.6","2.8"
"1.6","-0.5","6.1","6.3","2.9"
"1.5","-2.1","7.0","7.5","2.9"
"-0.3","-3.0","8.5","9.0","2.9"
"-2.1","-3.4","12.7","13.3","2.9"
"-4.9","-5.0","10.5","12.6","2.9"
"-6.3","-4.6","-2.1","8.1","2.9"
"-7.6","-0.2","-25.5","26.6","3.0"
"-2.3","4.9","-9.3","10.8","3.0"
"-1.4","5.3","6.8","8.7","3.0"
"0.6","7.1","8.5","11.1","3.0"
"2.5","8.0","5.1","9.8","3.0"
"2.9","5.7","-1.1","6.5","3.1"
"4.4","2.8","-2.3","5.7","3.1"
"3.2","0.6","2.1","3.9","3.1"
"2.7","1.3","2.9","4.2","3.1"
"2.9","2.8","2.6","4.8","3.1"
"0.8","2.5","1.6","3.1","3.2"
"-0.5","1.9","1.2","2.3","3.2"
"0.1","1.4","0.6","1.5","3.2"
"2.4","0.3","-1.5","2.8","3.2"
"1.9","-4.3","-13.4","14.2","3.2"
"-4.8","-11.9","-21.1","24.7","3.3"
"-1.0","-6.4","-6.9","9.5","3.3"
"-0.8","1.7","3.0","3.5","3.3"
"-1.9","4.0","0.8","4.5","3.3"
"-2.7","2.5","3.3","4.9","3.3"
"-1.5","1.4","3.4","4.0","3.3"
"-1.5","-0.3","3.5","3.8","3.4"
"-2.5","-3.5","6.8","8.0","3.4"
"-1.3","-6.5","1.6","6.8","3.4"
"2.2","-6.6","-5.4","8.8","3.4"
"0.2","1.6","8.5","8.7","3.4"
"1.5","5.3","5.6","7.9","3.5"
"1.5","5.9","1.9","6.4","3.5"
"0.4","4.5","-0.7","4.6","3.5"
"-0.3","1.8","0.4","1.9","3.5"
"-0.4","-1.2","2.7","3.0","3.5"
"0.2","-3.8","2.6","4.6","3.6"
"0.8","-4.0","1.2","4.3","3.6"
